alte Barcodes,Seriennummer,Gerät,Typ,Art,Defekt,vorhanden,Bemerkungen
200162,NULL,Mikrofonkabel stereo 18m,Mikrofonkabel,Kabel,0,,
200163,NULL,8x xlr m -Klinke sy.,Peitschen,Kabel,0,,
200164,NULL,8x xlr m -Klinke sy.,Peitschen,Kabel,0,,
200165,NULL,8x xlr m -Klinke sy.,Peitschen,Kabel,0,,
200166,NULL,XLR w - XLR w,Adapter,Kabel,0,x,
200167,NULL,XLR w - XLR w,Adapter,Kabel,0,x,
200168,NULL,XLR w - XLR w,Adapter,Kabel,0,x,
200169,NULL,XLR w - XLR w,Adapter,Kabel,0,x,
200170,NULL,XLR w - XLR w,Adapter,Kabel,0,x,
200171,NULL,XLR w - XLR w,Adapter,Kabel,0,x,
200172,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,,
200173,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,,
200179,NULL,Mikrofonkabel 15m,Mikrofonkabel,Kabel,0,,
200180,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,,
200181,NULL,XLR Patchkabel 1m,Mikrofonkabel,Kabel,0,x,
200182,NULL,"SubD - 8x Klinke 6,3",Peitschen,Kabel,0,,
200183,NULL,"SubD - 8x Klinke 6,3",Peitschen,Kabel,0,,
200184,NULL,Midikabel 3m,Midikabel,Kabel,0,x,
200185,NULL,Midikabel 10m,Midikabel,Kabel,0,x,
200186,NULL,Midikabel 5m,Midikabel,Kabel,0,x,
200187,NULL,XLR m - XLR m,Adapter,Kabel,0,x,
200188,NULL,XLR Patchkabel,Mikrofonkabel,Kabel,0,x,
200189,NULL,XLR Insert-Kabel,Adapter,Kabel,0,x,
200190,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,,
300001,31291 & 39033,MK 8,Schoeps,Mikrofone,0,x,
300002,4563,SM 69,Schoeps,Mikrofone,0,x,
300003,65,CMTS 501,Schoeps,Mikrofone,0,x,
300004,5100,U 89,Neumann,Mikrofone,0,x,
300005,3857,U 89,Neumann,Mikrofone,0,x,
300006,3856,U 89,Neumann,Mikrofone,0,x,
300007,375,CMTS 501,Schoeps,Mikrofone,0,x,
300008,2264,SM 69,Schoeps,Mikrofone,0,x,
300009,5210,TLM 170,Neumann,Mikrofone,0,x,
